cdu_sim," csu_sim"," afd_sim"," linke_sim"," gruene_sim"," spd_sim"," words_count",average_word_length,case_ratio,screen_name_length,is_retweet,has_link,hashtags_count,mentions_count,party
0.0049723720121,0.00425648119184,0.0055295247027,0.0045845658298,0.00507617943109,0.00496867319855,0.00663672019691,0.00649853630631,0.0138891965091,0.00668455290016,0.0,0.0,0.00466592328877,0.0,CDU
0.00290014530278,0.00225296206003,0.00210700905008,0.00239823934358,0.00278403361185,0.00292883816795,0.00459465244402,0.00792660971683,0.00519402085521,0.00425380639101,0.0,0.0,0.00466592328877,0.0,SPD
0.00672903057737,0.00593773100817,0.00563032189724,0.00654854712631,0.00686052615646,0.00637626786936,0.00867878794981,0.00530076686946,0.00411193317704,0.00911529940931,0.0,0.0,0.0186636931551,0.0,SPD
0.00221446921658,0.0023013609466,0.00295440739652,0.00216129837249,0.00277358439249,0.00263211313715,0.00459465244402,0.00750941973174,0.00639634049761,0.0048614930183,0.0,0.0,0.0,0.0,GRUENE
0.00888777427699,0.0100328861025,0.0108209888269,0.00875650250522,0.0102509260192,0.0100843983682,0.00714723713513,0.00657074226527,0.00671336028907,0.0048614930183,0.0,0.0,0.00466592328877,0.0,GRUENE
0.00600998213247,0.00599410688803,0.00659317302462,0.00545558406307,0.00719050232181,0.00712520173749,0.00816827101158,0.00604273619038,0.0051099752103,0.00789992615473,0.0,0.0,0.00466592328877,0.0,GRUENE
0.00994539054445,0.0100958355352,0.00761915826794,0.00981581161964,0.00834366863207,0.00942123035129,0.00561568632046,0.0071680824712,0.00469935220233,0.00911529940931,0.0,0.0,0.0,0.0,CDU
0.00514065777451,0.00436218378911,0.006045969365,0.0045735101554,0.00528389435637,0.00514356479239,0.00510516938224,0.00628913902533,0.00785563353227,0.00668455290016,0.0102014264632,0.0,0.0,0.0,CDU
0.00861504203447,0.00857024494775,0.00708584510473,0.00895868031142,0.0084833970072,0.00817723836247,0.00765775407336,0.00500627982115,0.0123357995311,0.00789992615473,0.0102014264632,0.0,0.00933184657755,0.0,GRUENE
0.00249487126561,0.00226917294638,0.00126130262751,0.00248628984522,0.00236058755891,0.00219545210205,0.00408413550579,0.00680541163189,0.00453730557466,0.00789992615473,0.0,0.0,0.0,0.0,DIE LINKE
0.00175505022928,0.001775593715,0.00230203303319,0.00188087602426,0.00203657821305,0.00166190312901,0.00357361856757,0.00603435514157,0.00731010342583,0.00789992615473,0.0102014264632,0.0,0.0,0.0,DIE LINKE
0.00478329608216,0.00411293586914,0.00427487740404,0.00429911935578,0.00390796585854,0.00394127295132,0.00816827101158,0.00528006074888,0.00511707239809,0.0048614930183,0.0,0.0,0.0,0.0,CDU
0.00274671339902,0.00240701511095,0.00346679379021,0.0026506641858,0.00324553756853,0.00275772993262,0.00510516938224,0.00478725507898,0.00129001825162,0.0048614930183,0.0,0.0,0.0,0.0,GRUENE
0.0036448519118,0.00374787562892,0.00507790248755,0.00377553106507,0.00385477685962,0.00385734920799,0.00255258469112,0.00337923887928,0.00365505171292,0.00911529940931,0.0,0.0,0.0,0.0,DIE LINKE
0.00683494966361,0.00702877684875,0.00535083255927,0.00650024519894,0.00620032813855,0.0068011473098,0.00714723713513,0.00750941973174,0.00293709512646,0.00850761278202,0.0,0.0,0.00466592328877,0.0,GRUENE
0.0026404940934,0.00217603755041,0.00250475508188,0.00194693300525,0.00225388711027,0.00231005147766,0.00306310162934,0.00391115611028,0.0026316372333,0.00789992615473,0.0,0.0,0.0,0.0,CDU
0.00580955957792,0.00558168782387,0.00415100693794,0.00504451204556,0.00474104660838,0.00523843524358,0.00255258469112,0.00619527127868,0.00598099371205,0.00668455290016,0.0102014264632,0.0,0.00466592328877,0.0,CDU
0.0030768484567,0.00298547061014,0.00301046536775,0.00335033608781,0.00280420880141,0.00277732219609,0.00510516938224,0.00413018085246,0.00598099371205,0.00789992615473,0.0,0.0,0.0,0.0,CDU
0.00960350307433,0.0104843996475,0.0111274127921,0.0107551174519,0.00979508552195,0.00908924015279,0.00816827101158,0.00557339745715,0.00484775279819,0.00668455290016,0.0,0.0,0.00933184657755,0.0,GRUENE
0.000426646493901,0.000191248853195,0.00045417916228,0.000301264302402,0.000215718755254,0.000416606865234,0.00612620325869,0.00664896538747,0.00851412046069,0.00607686627287,0.0102014264632,0.0,0.0,0.0,SPD
0.00714527997816,0.00685928604637,0.00774798820697,0.00658624376959,0.00756873879013,0.00715759182442,0.00867878794981,0.00480381997545,0.00378108797888,0.00607686627287,0.0,0.0,0.0,0.0,SPD
0.00519931041499,0.00585290128331,0.00673560732701,0.00596818771929,0.00548706142723,0.0053777723487,0.00306310162934,0.00625784977645,0.00328954654163,0.00243074650915,0.0102014264632,0.0,0.00466592328877,0.0,GRUENE
0.00122241746584,0.00123318189153,0.00124540611601,0.00123159241795,0.0014232252124,0.00120537486303,0.00612620325869,0.0056320647988,0.00913762928231,0.00607686627287,0.0102014264632,0.0,0.00466592328877,0.0,CDU
0.00491379461777,0.00368170253485,0.00376915891944,0.00392403085788,0.00448897198268,0.00449558693906,0.00816827101158,0.00539739543219,0.00286047525359,0.00243074650915,0.0102014264632,0.0,0.00466592328877,0.0,GRUENE
0.0081884643288,0.00771553794105,0.00635785946391,0.0077662237194,0.00728769044688,0.00763383673491,0.00561568632046,0.00529072753827,0.00530572022843,0.00607686627287,0.0102014264632,0.0,0.0,0.0,CDU
